🍊 高清收藏 ,#genre#
CCTV4K 16M2160,http://39.135.55.105:6610/PLTV/88888888/224/3221226998/index.m3u8?servicetype=1
芒果TV 16M2160,http://39.135.55.105:6610/PLTV/88888888/224/3221226887/index.m3u8?servicetype=1
纯享4K 16M2160,http://39.135.55.105:6610/PLTV/88888888/224/3221226825/index.m3u8?servicetype=1
凤凰中文 8M1080,http://39.135.55.105:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1
凤凰资讯 8M1080,http://39.135.55.105:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1
CCTV1 8M1080,http://39.135.55.105:6610/PLTV/88888888/224/3221225922/index.m3u8?servicetype=1
CCTV1 8M1080,http://39.135.55.105:6610/PLTV/88888888/224/3221226908/index.m3u8?servicetype=1
CCTV1 8M1080,http://39.135.55.105:6610/PLTV/88888888/224/3221226995/index.m3u8?servicetype=1
CCTV5 8M1080,http://39.135.55.105:6610/PLTV/88888888/224/3221227170/index.m3u8?servicetype=1
CCTV5+ 8M1080,http://39.135.55.105:6610/PLTV/88888888/224/3221225939/index.m3u8?servicetype=1
CCTV5+ 8M1080,http://39.135.55.105:6610/PLTV/88888888/224/3221226919/index.m3u8?servicetype=1
CCTV6 8M1080,http://39.135.55.105:6610/PLTV/88888888/224/3221227137/index.m3u8?servicetype=1
CCTV16 8M1080,http://39.135.55.105:6610/PLTV/88888888/224/3221227125/index.m3u8?servicetype=1
CCTV16 25M2160,http://39.135.55.105:6610/PLTV/88888888/224/3221227162/index.m3u8?servicetype=1
北京卫视 8M1080,http://39.135.55.105:6610/PLTV/88888888/224/3221227246/index.m3u8?servicetype=1
深圳卫视 8M1080,http://39.135.55.105:6610/PLTV/88888888/224/3221227242/index.m3u8?servicetype=1
